judul,penulis,penerbit,isbn,tahun_terbit,rak,kategori,harga_ganti,stok,deskripsi
"IPS SEJARAH, JILID 3 SLTP","Drs.C.S.T Kansil, SH.",Erlangga,9794111988,1997,Kelas IX,Buku Paket Kelas IX,75000,54,"IPS SEJARAH, JILID 3 SLTP"
Belajar Matematika Aktif Dan Menyenangkan Untuk SMP/MTs Kelas IX,"Wahyudin Djumanta, Dwi Susanti",Departemen Pendidikan Nasional,9794628875,2008,Kelas IX,Buku Paket Kelas IX,75000,28,Belajar Matematika Aktif Dan Menyenangkan Untuk SMP/MTs Kelas IX
English In Focus for Grade IX Junior High School,"Artono Wardiman, Masduki B.Jahur, M.Sukirman D",Pusat Perbukuan Departemen Pendidikan Nasional,9794629723,2008,Kelas IX,Buku Paket Kelas IX,75000,64,English In Focus for Grade IX Junior High School
Bahasa Dan Sastra Indonesia Untuk SMP/MTs Kelas IX,"Nurhadi, Dawud, Yuni Pratiwi",Erlangga,9797816605,2005,Kelas IX,Buku Paket Kelas IX,75000,22,Bahasa Dan Sastra Indonesia Untuk SMP/MTs Kelas IX
"Mahir Berbahasa Indonesia, Jilid 3 Kelas IX SMP/MTs",Tim Edukatif,Erlangga,9786022989899,2016,Kelas IX,Buku Paket Kelas IX,75000,11,"Mahir Berbahasa Indonesia, Jilid 3 Kelas IX SMP/MTs"
Bahasa Indonesia,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786021530856,2015,Kelas IX,Buku Paket Kelas IX,75000,33,Bahasa Indonesia
Prakarya Untuk SMP/MTs Kelas IX,"Sugiyanto, Mugiyono, Encep Bingbing Wasilah, Ridwan Samsu",Erlangga,9786024342890,2017,Kelas IX,Buku Paket Kelas IX,75000,4,Prakarya Untuk SMP/MTs Kelas IX
Buku Guru Bahasa Indonesia,"Suherli, Maman Suryaman, Aji Septiaji, Istiqomah",Kementerian Pendidikan Dan Kebudyaan,9786024271046,2017,Kelas IX,Buku Paket Kelas IX,75000,3,Buku Guru Bahasa Indonesia
Ilmu Pengetahuan Alam,Kementerian Pendidikan Dan Kebudayaan,Kementerian Pendidikan Dan Kebudyaan,9786021530627,2015,Kelas IX,Buku Paket Kelas IX,75000,12,Ilmu Pengetahuan Alam
Smart Steps Grade IX,"Ali Akhmadi, Ida Safrida",Ganeca Exact,9797442764,2005,Kelas IX,Buku Paket Kelas IX,75000,45,Smart Steps Grade IX
