nama,tingkat,jurusan_kode
VII A,7,Non_Jurusan
VII B,7,Non_Jurusan
VII C,7,Non_Jurusan
VII D,7,Non_Jurusan
VII E,7,Non_Jurusan
VII F,7,Non_Jurusan
VII G,7,Non_Jurusan
VII H,7,Non_Jurusan
VII I,7,Non_Jurusan
VII J,7,Non_Jurusan
VIII A,8,Non_Jurusan
VIII B,8,Non_Jurusan
VIII C,8,Non_Jurusan
VIII D,8,Non_Jurusan
VIII E,8,Non_Jurusan
VIII F,8,Non_Jurusan
VIII G,8,Non_Jurusan
VIII H,8,Non_Jurusan
VIII I,8,Non_Jurusan
VIII J,8,Non_Jurusan
IX A,9,Non_Jurusan
IX B,9,Non_Jurusan
IX C,9,Non_Jurusan
IX D,9,Non_Jurusan
IX E,9,Non_Jurusan
IX F,9,Non_Jurusan
IX G,9,Non_Jurusan
IX H,9,Non_Jurusan
IX I,9,Non_Jurusan
IX J,9,Non_Jurusan
IX K,9,Non_Jurusan
