kelas_nama,jurusan_kode,tahun_pelajaran_nama,wali_kelas_nip
VII A,Non_Jurusan,2026/2027,
VII B,Non_Jurusan,2026/2027,
VII C,Non_Jurusan,2026/2027,
VII D,Non_Jurusan,2026/2027,
VII E,Non_Jurusan,2026/2027,
VII F,Non_Jurusan,2026/2027,
VII G,Non_Jurusan,2026/2027,
VII H,Non_Jurusan,2026/2027,
VII I,Non_Jurusan,2026/2027,
VII J,Non_Jurusan,2026/2027,
VIII A,Non_Jurusan,2026/2027,
VIII B,Non_Jurusan,2026/2027,
VIII C,Non_Jurusan,2026/2027,
VIII D,Non_Jurusan,2026/2027,
VIII E,Non_Jurusan,2026/2027,
VIII F,Non_Jurusan,2026/2027,
VIII G,Non_Jurusan,2026/2027,
VIII H,Non_Jurusan,2026/2027,
VIII I,Non_Jurusan,2026/2027,
VIII J,Non_Jurusan,2026/2027,
IX A,Non_Jurusan,2026/2027,
IX B,Non_Jurusan,2026/2027,
IX C,Non_Jurusan,2026/2027,
IX D,Non_Jurusan,2026/2027,
IX E,Non_Jurusan,2026/2027,
IX F,Non_Jurusan,2026/2027,
IX G,Non_Jurusan,2026/2027,
IX H,Non_Jurusan,2026/2027,
IX I,Non_Jurusan,2026/2027,
IX J,Non_Jurusan,2026/2027,
IX K,Non_Jurusan,2026/2027,
